# Метеостанция Симферополь (метеостанция),,, Россия, WMO_ID=33955,,,,,
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=33955&lang=ru,,,,,,,,,
# Пожалуйста,,, при использовании данных, любезно указывайте названный сайт.,,,,,
"# Информация предоставлена сайтом ""Расписание Погоды""",,, rp5.ru,,,,,,
# Кодировка: UTF-8,,,,,,,,,
,,,,,,,,,
time,month,hour,T,Po,U,DD,Ff,N,W
06.03.2014 09:00,3,9,10.4,736.0,66,8,2,100,0
06.03.2014 12:00,3,12,14.0,736.3,61,6,3,100,0
06.03.2014 15:00,3,15,15.0,736.3,60,8,4,95,0
06.03.2014 18:00,3,18,11.3,737.0,74,6,2,100,0
06.03.2014 21:00,3,21,9.7,737.9,79,8,3,100,25
07.03.2014 00:00,3,0,6.3,738.3,90,2,1,100,12
07.03.2014 03:00,3,3,6.8,738.6,93,4,2,100,12
07.03.2014 06:00,3,6,4.3,739.2,95,4,2,100,46
07.03.2014 09:00,3,9,4.3,739.8,92,4,4,100,12
07.03.2014 12:00,3,12,4.2,740.6,90,4,4,100,12
07.03.2014 15:00,3,15,3.0,740.8,88,6,5,100,25
07.03.2014 18:00,3,18,3.1,741.1,91,6,4,95,25
07.03.2014 21:00,3,21,5.3,741.6,89,4,3,100,25
08.03.2014 00:00,3,0,4.8,741.3,90,4,3,100,0
08.03.2014 03:00,3,3,5.5,740.7,86,6,2,0,0
08.03.2014 06:00,3,6,2.5,739.7,91,6,1,0,0
08.03.2014 09:00,3,9,2.8,740.0,86,4,3,100,0
08.03.2014 12:00,3,12,3.7,739.7,80,4,3,100,0
08.03.2014 15:00,3,15,5.3,738.3,74,6,5,100,0
08.03.2014 18:00,3,18,3.8,737.7,77,4,5,100,7
08.03.2014 21:00,3,21,3.8,738.1,83,6,3,100,7
09.03.2014 00:00,3,0,2.4,738.1,89,2,2,100,25
09.03.2014 03:00,3,3,1.8,737.5,95,2,4,100,7
09.03.2014 06:00,3,6,1.2,737.9,92,4,3,100,25
09.03.2014 09:00,3,9,1.4,739.6,94,4,4,100,0
09.03.2014 12:00,3,12,5.7,740.4,83,4,3,100,0
09.03.2014 15:00,3,15,4.3,740.9,82,4,4,100,0
09.03.2014 18:00,3,18,1.6,741.9,87,10,3,100,0
09.03.2014 21:00,3,21,0.3,742.6,87,4,3,100,0
10.03.2014 00:00,3,0,0.1,742.5,86,6,4,100,0
10.03.2014 03:00,3,3,0.0,741.6,88,6,5,100,25
10.03.2014 06:00,3,6,0.2,740.7,92,8,4,100,40
10.03.2014 09:00,3,9,0.2,740.8,92,6,4,100,25
10.03.2014 12:00,3,12,0.8,739.9,90,8,4,100,25
10.03.2014 15:00,3,15,0.4,739.0,89,8,4,100,0
10.03.2014 18:00,3,18,1.9,737.8,73,6,7,95,0
10.03.2014 21:00,3,21,1.4,736.6,76,6,8,25,0
11.03.2014 00:00,3,0,1.4,735.2,76,6,5,100,25
11.03.2014 03:00,3,3,0.3,734.4,87,4,6,100,25
11.03.2014 06:00,3,6,0.1,733.9,92,6,5,100,25
11.03.2014 09:00,3,9,0.0,734.0,90,6,4,100,16
11.03.2014 12:00,3,12,0.0,734.1,88,4,4,100,25
11.03.2014 15:00,3,15,1.0,734.2,87,6,3,100,0
11.03.2014 18:00,3,18,2.0,733.8,78,6,1,100,0
11.03.2014 21:00,3,21,1.2,734.9,83,32,0,60,0
12.03.2014 00:00,3,0,0.4,734.7,82,14,1,40,0
12.03.2014 03:00,3,3,0.2,734.3,75,16,3,0,0
12.03.2014 06:00,3,6,-0.8,734.3,77,14,2,0,0
12.03.2014 09:00,3,9,1.4,735.4,71,10,1,0,0
12.03.2014 12:00,3,12,5.4,736.3,65,6,4,100,0
12.03.2014 15:00,3,15,9.2,736.4,54,4,4,100,0
12.03.2014 18:00,3,18,9.1,737.2,40,4,4,100,0
12.03.2014 21:00,3,21,6.0,739.0,53,4,3,100,0
13.03.2014 00:00,3,0,4.6,740.1,64,4,3,100,0
13.03.2014 03:00,3,3,2.3,740.6,74,4,2,100,0
13.03.2014 06:00,3,6,1.1,741.2,76,4,1,100,0
13.03.2014 09:00,3,9,1.2,742.1,78,4,1,100,0
13.03.2014 12:00,3,12,5.4,742.6,55,4,4,75,0
13.03.2014 15:00,3,15,8.3,741.6,39,28,3,25,0
13.03.2014 18:00,3,18,7.0,741.4,49,24,3,5,0
13.03.2014 21:00,3,21,4.0,742.0,79,16,2,40,0
14.03.2014 00:00,3,0,2.6,742.2,76,16,1,0,0
14.03.2014 03:00,3,3,2.2,741.9,66,16,1,0,0
14.03.2014 06:00,3,6,2.4,741.6,65,14,2,0,0
14.03.2014 09:00,3,9,6.8,741.4,52,16,3,25,0
14.03.2014 12:00,3,12,11.2,741.2,50,20,4,95,0
14.03.2014 15:00,3,15,13.2,740.3,39,20,4,75,0
14.03.2014 18:00,3,18,10.6,739.4,44,20,3,75,0
14.03.2014 21:00,3,21,7.8,740.0,68,18,4,75,0
15.03.2014 00:00,3,0,7.3,739.8,59,16,2,75,0
15.03.2014 03:00,3,3,7.1,739.2,63,18,3,0,0
15.03.2014 06:00,3,6,5.6,738.5,70,14,2,0,0
15.03.2014 09:00,3,9,9.3,738.2,59,16,1,0,0
15.03.2014 12:00,3,12,14.6,737.0,43,22,5,40,0
15.03.2014 15:00,3,15,15.7,734.7,36,20,5,40,0
15.03.2014 18:00,3,18,13.6,732.2,36,18,5,0,0
15.03.2014 21:00,3,21,10.3,729.9,35,18,4,0,0
16.03.2014 00:00,3,0,11.2,728.4,27,18,5,0,0
16.03.2014 03:00,3,3,10.1,726.2,43,18,5,0,0
16.03.2014 06:00,3,6,9.5,724.3,63,22,6,75,0
16.03.2014 09:00,3,9,5.6,726.1,80,24,4,100,12
16.03.2014 12:00,3,12,3.1,727.5,86,24,3,100,15
16.03.2014 15:00,3,15,6.4,728.0,58,26,5,100,0
16.03.2014 18:00,3,18,5.4,727.7,61,22,5,95,0
16.03.2014 21:00,3,21,4.2,727.1,76,18,4,60,0
17.03.2014 00:00,3,0,5.5,725.0,67,22,5,75,12
17.03.2014 03:00,3,3,6.2,723.2,87,22,6,100,46
17.03.2014 06:00,3,6,6.0,723.5,85,24,7,100,45
17.03.2014 09:00,3,9,1.2,729.3,58,26,6,40,0
17.03.2014 12:00,3,12,3.4,731.6,47,24,6,40,0
17.03.2014 15:00,3,15,5.0,733.2,39,24,6,25,0
17.03.2014 18:00,3,18,4.8,733.7,49,20,4,75,0
17.03.2014 21:00,3,21,4.1,734.3,60,18,3,100,12
18.03.2014 00:00,3,0,5.5,734.1,69,20,4,100,45
18.03.2014 03:00,3,3,6.8,732.8,83,18,4,95,0
18.03.2014 06:00,3,6,7.6,732.5,84,18,3,100,12
18.03.2014 09:00,3,9,8.0,733.2,88,24,4,100,45
18.03.2014 12:00,3,12,11.3,734.0,59,24,5,95,45
18.03.2014 15:00,3,15,11.2,735.0,45,24,6,60,0
18.03.2014 18:00,3,18,10.1,736.8,38,24,5,5,0
18.03.2014 21:00,3,21,6.6,739.1,60,20,2,0,0
19.03.2014 00:00,3,0,4.6,739.5,54,14,2,0,0
19.03.2014 03:00,3,3,3.2,739.6,55,12,2,25,0
19.03.2014 06:00,3,6,2.0,739.0,64,14,2,25,0
19.03.2014 09:00,3,9,8.3,738.6,41,12,3,25,0
19.03.2014 12:00,3,12,15.2,737.2,31,22,3,100,0
19.03.2014 15:00,3,15,15.8,735.4,33,18,4,100,0
19.03.2014 18:00,3,18,14.6,734.0,40,18,5,100,0
19.03.2014 21:00,3,21,12.3,732.8,48,16,1,75,0
20.03.2014 00:00,3,0,12.0,732.7,54,22,3,75,12
20.03.2014 03:00,3,3,10.2,733.2,71,24,2,100,25
20.03.2014 06:00,3,6,7.6,733.9,94,24,3,100,15
20.03.2014 09:00,3,9,6.4,736.2,88,24,3,100,0
20.03.2014 12:00,3,12,9.0,737.6,73,24,4,100,0
20.03.2014 15:00,3,15,10.0,738.5,57,24,5,75,0
20.03.2014 18:00,3,18,8.8,739.6,69,22,5,100,0
20.03.2014 21:00,3,21,8.2,740.8,81,20,3,100,0
21.03.2014 00:00,3,0,8.5,741.7,79,20,2,100,25
21.03.2014 03:00,3,3,7.3,742.0,87,18,1,0,25
21.03.2014 06:00,3,6,4.2,743.1,92,14,1,0,0
21.03.2014 09:00,3,9,7.5,744.4,80,8,1,0,0
21.03.2014 12:00,3,12,12.4,744.9,49,28,1,5,0
21.03.2014 15:00,3,15,14.3,744.7,36,28,2,0,0
21.03.2014 18:00,3,18,13.5,744.3,45,0,3,0,0
21.03.2014 21:00,3,21,8.0,744.7,70,14,1,0,0
22.03.2014 00:00,3,0,5.0,744.7,79,12,1,0,0
22.03.2014 03:00,3,3,3.5,743.7,83,12,2,0,0
22.03.2014 06:00,3,6,2.4,743.0,86,12,2,0,0
22.03.2014 09:00,3,9,7.3,742.6,68,16,1,0,0
22.03.2014 12:00,3,12,15.4,741.9,41,24,1,0,0
22.03.2014 15:00,3,15,17.6,740.3,38,28,2,0,0
22.03.2014 18:00,3,18,17.4,739.3,37,0,2,0,0
22.03.2014 21:00,3,21,9.9,739.4,56,22,2,0,0
23.03.2014 00:00,3,0,5.2,738.4,77,32,0,0,0
23.03.2014 03:00,3,3,3.1,737.7,83,16,1,0,0
23.03.2014 06:00,3,6,2.8,737.6,77,14,1,0,0
23.03.2014 09:00,3,9,7.4,737.2,59,12,1,0,0
23.03.2014 12:00,3,12,14.6,737.0,43,24,3,0,0
23.03.2014 15:00,3,15,16.0,735.9,41,26,2,0,0
23.03.2014 18:00,3,18,14.8,736.1,47,26,3,0,0
23.03.2014 21:00,3,21,9.2,736.7,70,16,1,0,0
24.03.2014 00:00,3,0,6.9,736.1,74,14,1,0,0
24.03.2014 03:00,3,3,5.4,735.9,67,12,2,0,0
24.03.2014 06:00,3,6,5.8,736.3,56,12,2,0,0
24.03.2014 09:00,3,9,11.8,736.5,48,14,2,25,0
24.03.2014 12:00,3,12,20.4,735.6,32,2,1,0,0
24.03.2014 15:00,3,15,20.0,734.6,44,24,3,25,0
24.03.2014 18:00,3,18,17.7,734.0,50,26,1,60,0
24.03.2014 21:00,3,21,12.0,733.9,66,32,0,5,0
25.03.2014 00:00,3,0,8.0,732.6,53,14,1,0,0
25.03.2014 03:00,3,3,7.0,731.9,56,10,1,0,0
25.03.2014 06:00,3,6,7.7,731.5,55,16,1,95,0
25.03.2014 09:00,3,9,12.2,731.2,48,16,1,95,0
25.03.2014 12:00,3,12,23.0,730.2,22,18,1,95,0
25.03.2014 15:00,3,15,25.1,729.3,17,16,2,75,0
25.03.2014 18:00,3,18,16.9,730.4,46,22,2,100,0
25.03.2014 21:00,3,21,12.6,731.3,52,24,1,25,0
26.03.2014 00:00,3,0,8.9,732.6,76,14,1,0,0
26.03.2014 03:00,3,3,8.0,732.4,70,12,1,60,0
26.03.2014 06:00,3,6,9.0,733.3,61,12,2,100,0
26.03.2014 09:00,3,9,12.4,733.8,57,4,1,100,11
26.03.2014 12:00,3,12,17.0,734.6,39,20,2,95,37
26.03.2014 15:00,3,15,12.8,735.3,70,24,4,100,0
26.03.2014 18:00,3,18,13.0,736.3,67,20,2,60,0
26.03.2014 21:00,3,21,8.6,737.0,83,18,2,0,0
27.03.2014 00:00,3,0,8.1,737.1,84,18,1,100,0
27.03.2014 03:00,3,3,8.5,737.5,79,22,3,100,12
27.03.2014 06:00,3,6,7.3,737.6,91,16,1,100,15
27.03.2014 09:00,3,9,8.1,738.1,86,14,1,100,0
27.03.2014 12:00,3,12,12.5,738.2,58,24,3,75,0
27.03.2014 15:00,3,15,13.5,738.1,50,24,4,60,0
27.03.2014 18:00,3,18,13.2,737.9,50,24,3,25,0
27.03.2014 21:00,3,21,8.9,738.0,81,16,2,40,0
28.03.2014 00:00,3,0,5.9,737.3,80,12,2,25,0
28.03.2014 03:00,3,3,6.0,736.6,77,16,1,100,0
28.03.2014 06:00,3,6,6.3,735.6,78,14,1,100,0
28.03.2014 09:00,3,9,9.6,735.1,71,14,1,75,37
28.03.2014 12:00,3,12,11.6,734.5,62,24,2,95,45
28.03.2014 15:00,3,15,13.4,733.0,50,24,3,60,0
28.03.2014 18:00,3,18,12.0,732.5,58,24,4,60,25
28.03.2014 21:00,3,21,8.6,732.3,89,24,3,100,0
29.03.2014 00:00,3,0,8.2,731.8,85,18,1,100,40
29.03.2014 03:00,3,3,7.4,730.8,92,22,3,100,25
29.03.2014 06:00,3,6,7.5,730.3,92,24,2,100,15
29.03.2014 09:00,3,9,2.9,732.0,71,2,5,100,0
29.03.2014 12:00,3,12,1.4,733.6,42,4,7,75,0
29.03.2014 15:00,3,15,1.3,735.2,33,2,6,75,0
29.03.2014 18:00,3,18,2.8,736.4,31,0,6,60,0
29.03.2014 21:00,3,21,1.6,738.1,37,28,3,40,0
30.03.2014 00:00,3,0,-0.3,739.2,53,28,2,0,0
30.03.2014 03:00,3,3,-1.5,739.2,54,26,1,0,0
30.03.2014 06:00,3,6,-3.8,739.5,71,16,1,0,0
30.03.2014 09:00,3,9,0.2,739.8,55,8,1,0,0
30.03.2014 12:00,3,12,5.6,739.5,27,0,3,25,0
30.03.2014 15:00,3,15,7.3,738.3,24,28,4,0,0
30.03.2014 18:00,3,18,6.4,737.8,35,24,4,0,0
30.03.2014 21:00,3,21,2.7,738.2,50,16,1,0,0
31.03.2014 00:00,3,0,0.7,738.3,60,16,1,0,0
31.03.2014 03:00,3,3,-0.7,737.6,64,14,1,0,0
31.03.2014 06:00,3,6,0.0,736.7,59,12,3,0,0
31.03.2014 09:00,3,9,6.9,736.2,53,18,3,0,0
31.03.2014 12:00,3,12,10.0,735.5,39,18,4,0,0
31.03.2014 15:00,3,15,11.0,734.8,32,24,5,0,0
31.03.2014 18:00,3,18,10.2,734.2,32,24,3,0,0
31.03.2014 21:00,3,21,5.6,734.0,62,20,1,0,0
01.04.2014 00:00,4,0,2.8,733.2,61,16,1,0,0
01.04.2014 03:00,4,3,1.2,732.2,65,16,1,0,0
01.04.2014 06:00,4,6,1.7,731.6,64,14,1,0,0
01.04.2014 09:00,4,9,8.8,731.0,29,18,2,95,0
01.04.2014 12:00,4,12,13.8,730.7,26,22,3,60,0
01.04.2014 15:00,4,15,14.1,730.6,33,24,4,95,0
01.04.2014 18:00,4,18,11.2,730.7,40,22,3,60,0
01.04.2014 21:00,4,21,7.8,732.4,79,22,1,75,25
02.04.2014 00:00,4,0,5.6,733.1,88,8,3,25,0
02.04.2014 03:00,4,3,3.6,734.0,85,8,1,75,0
02.04.2014 06:00,4,6,3.2,735.3,82,4,1,75,0
02.04.2014 09:00,4,9,3.4,737.0,65,4,4,25,0
02.04.2014 12:00,4,12,6.0,737.9,38,4,3,25,0
02.04.2014 15:00,4,15,7.6,737.8,31,0,3,25,0
02.04.2014 18:00,4,18,6.2,738.2,33,0,2,0,0
02.04.2014 21:00,4,21,2.3,739.3,46,8,3,100,0
03.04.2014 00:00,4,0,0.3,740.1,50,10,2,75,0
03.04.2014 03:00,4,3,-0.3,740.1,48,2,1,40,0
03.04.2014 06:00,4,6,-1.8,740.5,51,14,2,0,0
03.04.2014 09:00,4,9,4.2,741.3,29,8,1,0,0
03.04.2014 12:00,4,12,7.1,740.9,29,10,2,0,0
03.04.2014 15:00,4,15,9.7,740.0,22,16,3,0,0
03.04.2014 18:00,4,18,7.2,739.8,40,24,3,0,0
03.04.2014 21:00,4,21,2.2,739.6,53,8,3,0,0
04.04.2014 00:00,4,0,0.9,738.9,61,10,1,0,0
04.04.2014 03:00,4,3,-0.2,737.6,66,12,2,0,0
04.04.2014 06:00,4,6,-0.6,736.5,64,16,1,0,0
04.04.2014 09:00,4,9,6.2,735.6,39,12,2,100,0
04.04.2014 12:00,4,12,15.0,734.9,47,20,3,75,0
04.04.2014 15:00,4,15,16.4,734.0,43,24,4,75,0
04.04.2014 18:00,4,18,14.2,734.0,41,20,4,100,52
04.04.2014 21:00,4,21,11.0,734.3,72,16,1,100,0
05.04.2014 00:00,4,0,8.0,735.0,82,12,1,25,0
05.04.2014 03:00,4,3,5.5,735.5,85,14,2,0,0
05.04.2014 06:00,4,6,4.6,736.6,86,16,1,75,25
05.04.2014 09:00,4,9,7.5,737.8,89,8,3,100,0
05.04.2014 12:00,4,12,8.6,739.3,64,6,5,100,0
05.04.2014 15:00,4,15,8.0,739.6,46,6,4,100,0
05.04.2014 18:00,4,18,6.2,740.8,49,6,4,100,0
05.04.2014 21:00,4,21,4.6,742.0,29,8,4,100,0
06.04.2014 00:00,4,0,5.4,742.8,34,8,4,100,0
06.04.2014 03:00,4,3,4.5,743.0,36,6,5,0,0
06.04.2014 06:00,4,6,2.8,742.9,41,4,3,25,0
06.04.2014 09:00,4,9,8.2,742.8,28,8,3,100,0
06.04.2014 12:00,4,12,12.1,742.3,24,8,5,95,0
06.04.2014 15:00,4,15,16.0,741.3,15,8,2,75,0
06.04.2014 18:00,4,18,12.8,740.5,18,6,3,75,0
06.04.2014 21:00,4,21,8.6,740.1,38,24,1,100,0
07.04.2014 00:00,4,0,6.2,739.3,41,12,1,100,0
07.04.2014 03:00,4,3,5.4,738.2,45,14,1,100,0
07.04.2014 06:00,4,6,5.9,737.6,42,14,1,75,0
07.04.2014 09:00,4,9,10.0,737.2,30,16,1,100,0
07.04.2014 12:00,4,12,17.0,736.5,15,28,2,40,0
07.04.2014 15:00,4,15,17.8,735.5,28,26,2,75,0
07.04.2014 18:00,4,18,15.8,735.1,35,24,3,75,0
07.04.2014 21:00,4,21,11.0,735.8,48,8,1,0,0
08.04.2014 00:00,4,0,6.4,736.2,66,12,1,0,0
08.04.2014 03:00,4,3,5.8,735.8,64,14,2,100,0
08.04.2014 06:00,4,6,4.6,735.9,67,16,1,0,0
08.04.2014 09:00,4,9,9.6,736.4,36,8,2,75,0
08.04.2014 12:00,4,12,14.1,736.5,41,8,1,50,0
08.04.2014 15:00,4,15,14.8,735.5,43,2,2,75,0
08.04.2014 18:00,4,18,13.4,735.3,50,24,3,5,0
08.04.2014 21:00,4,21,8.9,736.2,69,18,1,25,0
09.04.2014 00:00,4,0,5.9,735.8,76,14,2,25,0
09.04.2014 03:00,4,3,4.3,735.5,79,16,1,0,0
09.04.2014 06:00,4,6,4.3,735.4,80,12,1,75,0
09.04.2014 09:00,4,9,9.1,735.3,56,16,2,100,0
09.04.2014 12:00,4,12,14.8,735.3,49,24,2,95,0
09.04.2014 15:00,4,15,16.4,734.9,45,24,4,95,0
09.04.2014 18:00,4,18,15.2,734.5,47,24,3,25,0
09.04.2014 21:00,4,21,11.2,734.6,65,16,1,0,0
10.04.2014 00:00,4,0,7.7,734.3,77,14,1,0,0
10.04.2014 03:00,4,3,5.8,733.4,80,8,1,0,0
10.04.2014 06:00,4,6,4.8,733.3,81,14,2,40,0
10.04.2014 09:00,4,9,11.8,733.5,57,24,1,0,0
10.04.2014 12:00,4,12,17.6,733.1,39,8,2,25,0
10.04.2014 15:00,4,15,20.7,732.7,36,0,2,25,0
10.04.2014 18:00,4,18,16.2,733.3,46,0,3,0,0
10.04.2014 21:00,4,21,10.4,734.5,74,6,1,0,0
11.04.2014 00:00,4,0,9.8,734.6,70,8,2,0,0
11.04.2014 03:00,4,3,9.6,734.1,71,6,2,0,0
11.04.2014 06:00,4,6,5.4,734.4,83,12,2,0,0
11.04.2014 09:00,4,9,15.2,734.9,43,6,1,25,0
11.04.2014 12:00,4,12,20.4,735.1,32,20,2,60,0
11.04.2014 15:00,4,15,21.6,734.6,27,12,3,95,0
11.04.2014 18:00,4,18,15.2,735.8,57,22,3,95,0
11.04.2014 21:00,4,21,11.0,736.9,64,26,1,100,0
12.04.2014 00:00,4,0,10.2,737.1,68,28,1,100,46
12.04.2014 03:00,4,3,9.0,736.7,91,12,1,100,15
12.04.2014 06:00,4,6,8.8,736.4,93,14,1,100,15
12.04.2014 09:00,4,9,10.2,736.7,89,32,0,100,0
12.04.2014 12:00,4,12,13.0,736.8,75,26,1,100,52
12.04.2014 15:00,4,15,11.0,736.9,82,24,3,100,0
12.04.2014 18:00,4,18,12.0,736.6,68,24,3,95,0
12.04.2014 21:00,4,21,8.8,737.6,87,24,2,75,0
13.04.2014 00:00,4,0,8.1,737.8,90,24,2,100,0
13.04.2014 03:00,4,3,7.9,737.3,89,24,2,100,0
13.04.2014 06:00,4,6,7.4,737.1,90,22,1,100,0
13.04.2014 09:00,4,9,9.4,737.9,72,22,3,75,0
13.04.2014 12:00,4,12,12.4,737.6,57,18,3,75,0
13.04.2014 15:00,4,15,12.8,737.1,57,24,4,75,0
13.04.2014 18:00,4,18,11.9,737.2,63,24,3,75,0
13.04.2014 21:00,4,21,8.4,737.9,81,24,1,60,0
14.04.2014 00:00,4,0,6.0,737.8,90,12,1,25,0
14.04.2014 03:00,4,3,3.9,737.1,95,14,1,40,0
14.04.2014 06:00,4,6,4.2,736.8,90,14,2,75,52
14.04.2014 09:00,4,9,8.5,737.5,79,10,1,95,0
14.04.2014 12:00,4,12,13.2,737.3,52,24,3,95,0
14.04.2014 15:00,4,15,14.7,736.3,50,22,4,60,0
14.04.2014 18:00,4,18,12.8,736.4,59,24,3,40,0
14.04.2014 21:00,4,21,8.9,736.7,80,20,2,0,0
15.04.2014 00:00,4,0,5.7,736.7,85,14,2,0,0
15.04.2014 03:00,4,3,4.6,736.3,87,14,2,0,0
15.04.2014 06:00,4,6,4.9,735.9,83,10,2,0,0
15.04.2014 09:00,4,9,11.1,736.2,60,12,1,0,0
15.04.2014 12:00,4,12,16.0,735.9,33,10,1,40,0
15.04.2014 15:00,4,15,18.8,735.2,36,2,1,75,0
15.04.2014 18:00,4,18,15.8,735.4,48,28,2,75,0
15.04.2014 21:00,4,21,11.2,735.9,59,4,1,25,0
16.04.2014 00:00,4,0,8.2,736.0,70,12,2,0,0
16.04.2014 03:00,4,3,7.3,735.7,68,12,2,0,0
16.04.2014 06:00,4,6,7.0,735.7,70,12,2,75,0
16.04.2014 09:00,4,9,14.0,736.5,53,10,2,95,0
16.04.2014 12:00,4,12,20.4,736.6,30,4,2,25,0
16.04.2014 15:00,4,15,21.2,736.2,27,8,2,75,0
16.04.2014 18:00,4,18,19.7,736.5,42,24,2,95,0
16.04.2014 21:00,4,21,14.7,737.5,32,12,2,25,0
17.04.2014 00:00,4,0,13.8,737.2,32,10,2,75,0
17.04.2014 03:00,4,3,13.4,737.1,41,8,2,25,0
17.04.2014 06:00,4,6,13.2,736.8,54,8,2,95,0
17.04.2014 09:00,4,9,18.2,737.2,49,6,2,95,0
17.04.2014 12:00,4,12,20.2,736.8,37,8,5,100,0
17.04.2014 15:00,4,15,21.6,735.2,43,6,6,75,0
17.04.2014 18:00,4,18,18.6,734.9,53,6,5,25,0
17.04.2014 21:00,4,21,15.3,734.9,62,6,3,0,0
