# Метеостанция Симферополь (метеостанция),,, Россия, WMO_ID=33955,,,,,,,
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=33955&lang=ru,,,,,,,,,,,
# Пожалуйста,,, при использовании данных, любезно указывайте названный сайт.,,,,,,,
"# Информация предоставлена сайтом ""Расписание Погоды""",,, rp5.ru,,,,,,,,
# Кодировка: UTF-8,,,,,,,,,,,
,,,,,,,,,,,
time,month,hour,T,Po,U,DD,Ff,N,WW,,
14.05.2019 00:00,5,0,11.0,741.0,90,12,1,0,0,,
14.05.2019 03:00,5,3,10.0,740.0,90,16,1,0,0,,
14.05.2019 06:00,5,6,9.5,740.1,90,14,2,95,0,,
14.05.2019 09:00,5,9,17.8,739.9,58,6,1,60,0,,
14.05.2019 12:00,5,12,22.0,739.0,49,4,1,0,0,,
14.05.2019 15:00,5,15,23.0,739.0,48,26,2,100,0,,
14.05.2019 18:00,5,18,19.0,739.0,56,24,2,100,0,,
14.05.2019 21:00,5,21,15.0,740.0,72,4,1,100,0,,
15.05.2019 00:00,5,0,13.0,739.0,82,8,1,0,0,,
15.05.2019 03:00,5,3,12.0,738.0,87,20,1,50,0,,
15.05.2019 06:00,5,6,11.3,738.0,84,10,2,100,0,,
15.05.2019 09:00,5,9,22.0,738.0,47,24,1,100,0,,
15.05.2019 12:00,5,12,29.0,737.0,28,8,2,100,0,,
15.05.2019 15:00,5,15,30.0,737.0,26,0,2,100,0,,
15.05.2019 18:00,5,18,28.0,736.0,30,4,3,100,0,,
15.05.2019 21:00,5,21,22.0,736.3,25,6,3,100,0,,
16.05.2019 00:00,5,0,21.0,736.0,36,8,4,100,0,,
16.05.2019 03:00,5,3,14.0,736.0,71,16,1,100,0,,
16.05.2019 06:00,5,6,19.1,734.1,52,0,5,25,0,,
16.05.2019 09:00,5,9,26.0,734.0,32,8,4,50,0,,
16.05.2019 12:00,5,12,30.0,733.0,25,8,3,0,0,,
16.05.2019 15:00,5,15,30.0,734.0,25,8,4,50,0,,
16.05.2019 18:00,5,18,22.0,735.0,55,24,1,50,0,,
16.05.2019 21:00,5,21,21.0,734.0,57,12,1,50,52,,
17.05.2019 00:00,5,0,20.0,734.0,61,20,2,100,45,,
17.05.2019 03:00,5,3,16.0,734.0,83,32,0,100,0,,
17.05.2019 06:00,5,6,15.0,734.0,82,16,1,50,0,,
17.05.2019 09:00,5,9,21.0,734.0,57,8,2,50,0,,
17.05.2019 12:00,5,12,29.0,733.0,37,24,2,50,0,,
17.05.2019 15:00,5,15,30.0,733.0,34,8,4,50,0,,
17.05.2019 18:00,5,18,27.0,732.0,50,4,5,0,0,,
17.05.2019 21:00,5,21,22.0,732.0,72,4,1,100,0,,
18.05.2019 00:00,5,0,19.0,732.0,78,24,2,100,0,,
18.05.2019 03:00,5,3,16.0,731.0,89,32,0,100,0,,
18.05.2019 06:00,5,6,18.0,730.0,74,8,1,100,15,,
18.05.2019 09:00,5,9,25.8,730.1,46,8,2,100,0,,
18.05.2019 12:00,5,12,26.0,730.0,57,24,2,100,0,,
18.05.2019 15:00,5,15,29.0,730.0,52,0,3,100,0,,
18.05.2019 18:00,5,18,26.0,729.0,57,4,4,50,0,,
18.05.2019 21:00,5,21,21.1,730.6,69,24,3,75,0,,
19.05.2019 00:00,5,0,16.0,731.0,85,20,1,50,0,,
19.05.2019 03:00,5,3,15.0,730.0,89,12,2,50,0,,
19.05.2019 06:00,5,6,16.0,731.0,85,12,1,100,34,,
19.05.2019 09:00,5,9,16.0,731.0,91,8,1,100,34,,
19.05.2019 12:00,5,12,18.0,732.0,89,12,1,100,52,,
19.05.2019 15:00,5,15,18.0,732.0,88,12,3,100,0,,
19.05.2019 18:00,5,18,21.0,734.0,71,24,2,0,0,,
19.05.2019 21:00,5,21,18.0,734.0,85,16,1,0,0,,
20.05.2019 00:00,5,0,16.0,734.0,87,12,2,50,24,,
20.05.2019 03:00,5,3,14.0,735.0,96,8,1,100,24,,
20.05.2019 06:00,5,6,13.0,736.0,97,20,1,100,37,,
20.05.2019 09:00,5,9,18.0,736.0,79,0,1,100,0,,
20.05.2019 12:00,5,12,25.0,736.0,58,0,3,50,0,,
20.05.2019 15:00,5,15,24.0,736.0,66,24,3,50,0,,
20.05.2019 18:00,5,18,25.0,736.0,43,8,2,0,0,,
20.05.2019 21:00,5,21,20.0,736.0,75,32,0,50,0,,
21.05.2019 00:00,5,0,16.0,736.0,78,12,2,50,0,,
21.05.2019 03:00,5,3,15.0,736.0,78,16,1,0,0,,
21.05.2019 06:00,5,6,16.0,736.0,69,16,2,50,0,,
21.05.2019 09:00,5,9,21.0,737.0,58,32,0,100,0,,
21.05.2019 12:00,5,12,26.0,737.0,35,0,1,100,0,,
21.05.2019 15:00,5,15,28.0,736.0,34,26,2,100,0,,
21.05.2019 18:00,5,18,26.0,736.0,45,0,2,50,0,,
21.05.2019 21:00,5,21,21.0,735.0,61,8,2,50,0,,
22.05.2019 00:00,5,0,18.0,735.0,75,32,0,0,0,,
22.05.2019 03:00,5,3,16.0,735.0,83,32,0,100,52,,
22.05.2019 06:00,5,6,16.3,733.6,69,12,3,100,45,,
22.05.2019 09:00,5,9,19.0,735.0,60,24,4,100,0,,
22.05.2019 12:00,5,12,20.0,735.0,61,24,4,50,0,,
22.05.2019 15:00,5,15,22.0,735.0,45,24,4,50,0,,
22.05.2019 18:00,5,18,21.0,735.0,46,24,3,50,0,,
22.05.2019 21:00,5,21,17.0,735.0,58,20,2,0,0,,
23.05.2019 00:00,5,0,14.0,735.0,72,12,2,0,0,,
23.05.2019 03:00,5,3,13.0,735.0,68,16,2,0,0,,
23.05.2019 06:00,5,6,14.0,735.0,64,12,1,100,52,,
23.05.2019 09:00,5,9,17.0,734.1,64,16,1,75,0,,
23.05.2019 12:00,5,12,24.0,734.0,36,20,3,0,0,,
23.05.2019 15:00,5,15,25.0,734.0,31,20,5,0,0,,
23.05.2019 18:00,5,18,23.0,733.0,37,20,4,0,0,,
23.05.2019 21:00,5,21,18.0,734.0,62,20,2,0,0,,
24.05.2019 00:00,5,0,14.0,734.0,72,12,2,0,0,,
24.05.2019 03:00,5,3,13.0,734.0,74,16,1,0,0,,
24.05.2019 06:00,5,6,11.8,733.3,76,14,2,0,0,,
24.05.2019 09:00,5,9,22.0,733.0,44,4,1,0,0,,
24.05.2019 12:00,5,12,26.0,732.0,29,16,2,100,0,,
24.05.2019 15:00,5,15,24.0,732.0,48,24,3,100,12,,
24.05.2019 18:00,5,18,21.0,732.0,53,24,1,100,45,,
24.05.2019 21:00,5,21,17.0,732.0,81,12,2,100,0,,
25.05.2019 00:00,5,0,16.0,732.0,82,12,1,0,45,,
25.05.2019 03:00,5,3,15.0,740.0,86,12,1,100,0,,
25.05.2019 06:00,5,6,14.0,731.0,85,12,1,100,0,,
25.05.2019 09:00,5,9,19.0,731.0,67,16,1,100,0,,
25.05.2019 12:00,5,12,22.0,731.0,47,24,3,50,18,,
25.05.2019 15:00,5,15,17.0,732.0,81,24,2,100,45,,
25.05.2019 18:00,5,18,20.0,732.0,64,24,4,100,15,,
25.05.2019 21:00,5,21,16.0,733.0,85,20,2,100,0,,
26.05.2019 00:00,5,0,15.0,734.0,87,20,3,50,0,,
26.05.2019 03:00,5,3,15.0,734.0,85,16,3,100,0,,
26.05.2019 06:00,5,6,15.4,733.9,89,20,3,100,0,,
26.05.2019 09:00,5,9,17.0,735.0,83,20,3,100,0,,
26.05.2019 12:00,5,12,21.0,735.0,60,24,4,100,0,,
26.05.2019 15:00,5,15,21.0,736.0,61,24,4,100,0,,
26.05.2019 18:00,5,18,20.0,736.0,68,20,3,50,0,,
26.05.2019 21:00,5,21,17.0,738.0,85,20,2,0,0,,
27.05.2019 00:00,5,0,15.0,738.0,87,20,1,0,0,,
27.05.2019 03:00,5,3,14.0,739.0,88,12,1,0,0,,
27.05.2019 06:00,5,6,14.0,739.0,84,12,3,50,0,,
27.05.2019 09:00,5,9,22.6,739.4,55,16,1,25,0,,
27.05.2019 12:00,5,12,26.0,739.0,33,26,1,50,0,,
27.05.2019 15:00,5,15,26.0,739.0,33,4,2,50,0,,
27.05.2019 18:00,5,18,25.0,739.0,40,24,2,0,0,,
27.05.2019 21:00,5,21,20.0,740.0,63,32,0,0,0,,
28.05.2019 00:00,5,0,16.0,740.0,78,12,2,0,0,,
28.05.2019 03:00,5,3,15.0,740.0,81,16,2,0,0,,
28.05.2019 06:00,5,6,13.0,739.0,83,12,2,100,0,,
28.05.2019 09:00,5,9,23.5,739.3,43,8,2,75,0,,
28.05.2019 12:00,5,12,26.0,739.0,29,12,4,50,0,,
28.05.2019 15:00,5,15,27.0,738.0,26,8,3,100,0,,
28.05.2019 18:00,5,18,24.0,738.0,33,12,2,100,0,,
28.05.2019 21:00,5,21,20.0,737.0,40,12,2,0,0,,
29.05.2019 00:00,5,0,19.0,736.0,44,8,2,0,0,,
29.05.2019 03:00,5,3,19.0,735.0,37,12,2,0,0,,
29.05.2019 06:00,5,6,18.0,744.0,40,16,2,50,0,,
29.05.2019 09:00,5,9,26.0,736.0,33,8,2,100,0,,
29.05.2019 12:00,5,12,30.0,735.0,27,8,4,100,0,,
29.05.2019 15:00,5,15,30.0,736.0,27,20,3,0,0,,
29.05.2019 18:00,5,18,30.0,736.0,27,24,1,0,0,,
29.05.2019 21:00,5,21,23.0,737.0,32,8,1,0,0,,
30.05.2019 00:00,5,0,18.0,737.0,53,16,1,0,0,,
30.05.2019 03:00,5,3,18.0,738.0,64,8,2,0,0,,
30.05.2019 06:00,5,6,17.0,737.0,65,8,2,100,0,,
30.05.2019 09:00,5,9,24.5,737.8,32,16,1,25,0,,
30.05.2019 12:00,5,12,29.0,738.0,30,26,2,0,0,,
30.05.2019 15:00,5,15,31.0,738.0,24,4,2,0,0,,
30.05.2019 18:00,5,18,31.0,737.0,27,24,3,50,0,,
30.05.2019 21:00,5,21,22.0,738.0,49,16,1,0,0,,
31.05.2019 00:00,5,0,19.0,738.0,63,16,2,0,0,,
31.05.2019 03:00,5,3,17.0,737.0,76,16,1,0,0,,
31.05.2019 06:00,5,6,16.6,737.2,77,12,2,0,0,,
31.05.2019 09:00,5,9,25.0,738.0,49,0,1,0,0,,
31.05.2019 12:00,5,12,29.0,737.0,35,0,2,0,0,,
31.05.2019 15:00,5,15,31.0,737.0,28,4,2,0,0,,
31.05.2019 18:00,5,18,27.0,736.0,50,24,3,50,0,,
31.05.2019 21:00,5,21,23.0,736.0,59,20,2,0,0,,
01.06.2019 00:00,6,0,19.0,736.0,79,16,1,0,0,,
01.06.2019 03:00,6,3,18.0,736.0,83,12,1,0,0,,
01.06.2019 06:00,6,6,17.2,735.7,81,14,2,0,0,,
01.06.2019 09:00,6,9,25.0,736.0,53,16,1,0,0,,
01.06.2019 12:00,6,12,30.0,736.0,38,26,2,100,0,,
01.06.2019 15:00,6,15,27.0,737.0,43,24,3,100,0,,
01.06.2019 18:00,6,18,27.0,736.0,41,24,2,100,0,,
01.06.2019 21:00,6,21,24.2,736.2,56,24,1,40,0,,
02.06.2019 00:00,6,0,20.0,737.0,76,12,1,0,0,,
02.06.2019 03:00,6,3,18.0,737.0,84,12,2,0,0,,
02.06.2019 06:00,6,6,17.5,736.3,77,12,3,40,0,,
02.06.2019 09:00,6,9,26.4,736.6,47,0,2,75,0,,
02.06.2019 12:00,6,12,30.0,736.0,43,4,2,100,0,,
02.06.2019 15:00,6,15,26.0,737.0,54,24,3,100,0,,
02.06.2019 18:00,6,18,25.0,736.0,48,24,2,100,0,,
02.06.2019 21:00,6,21,23.0,736.0,52,16,1,100,0,,
03.06.2019 00:00,6,0,21.0,736.0,69,12,1,50,0,,
03.06.2019 03:00,6,3,20.0,735.0,72,16,1,100,0,,
03.06.2019 06:00,6,6,19.0,736.0,80,16,1,100,0,,
03.06.2019 09:00,6,9,22.8,735.8,60,20,2,50,0,,
03.06.2019 12:00,6,12,28.0,736.0,44,24,3,0,0,,
03.06.2019 15:00,6,15,29.0,736.0,38,24,3,0,0,,
03.06.2019 18:00,6,18,27.0,736.0,54,24,3,0,0,,
03.06.2019 21:00,6,21,23.0,736.2,73,20,1,5,0,,
04.06.2019 00:00,6,0,20.0,736.0,85,16,1,0,0,,
04.06.2019 03:00,6,3,18.0,736.0,88,12,2,0,0,,
04.06.2019 06:00,6,6,18.0,736.0,87,12,3,0,40,,
04.06.2019 09:00,6,9,20.0,737.0,89,20,3,100,45,,
04.06.2019 12:00,6,12,26.0,736.0,56,4,1,100,45,,
04.06.2019 15:00,6,15,30.2,735.2,33,6,2,40,0,,
04.06.2019 18:00,6,18,24.0,737.0,62,0,4,100,0,,
04.06.2019 21:00,6,21,21.0,737.0,81,16,2,50,0,,
05.06.2019 00:00,6,0,19.0,736.0,87,12,3,0,0,,
05.06.2019 03:00,6,3,18.0,736.0,86,12,1,100,0,,
05.06.2019 06:00,6,6,18.9,736.0,75,12,2,75,0,,
05.06.2019 09:00,6,9,26.0,736.0,65,4,3,100,52,,
05.06.2019 12:00,6,12,27.0,736.0,58,8,4,100,18,,
05.06.2019 15:00,6,15,28.3,734.9,55,8,4,75,41,,
05.06.2019 18:00,6,18,24.3,735.9,75,4,1,75,37,,
05.06.2019 21:00,6,21,22.0,736.0,79,26,2,100,0,,
06.06.2019 00:00,6,0,20.0,737.0,86,4,2,100,0,,
06.06.2019 03:00,6,3,20.0,736.0,89,4,3,0,0,,
06.06.2019 06:00,6,6,19.2,736.3,95,4,2,100,0,,
06.06.2019 09:00,6,9,25.0,737.0,69,4,3,100,45,,
06.06.2019 12:00,6,12,27.0,737.0,57,4,3,100,18,,
06.06.2019 15:00,6,15,28.8,736.3,47,0,2,95,45,,
06.06.2019 18:00,6,18,26.1,736.3,70,4,2,75,45,,
07.06.2019 00:00,6,0,21.0,737.0,90,34,0,0,0,, 
07.06.2019 03:00,6,3,19.0,737.0,92,16,1,50,0,, 
07.06.2019 06:00,6,6,21.0,737.0,84,8,2,50,37,, 
07.06.2019 09:00,6,9,23.0,737.0,78,28,1,100,34,,
07.06.2019 12:00,6,12,16.0,739.0,93,16,1,100,45,,
07.06.2019 15:00,6,15,21.0,739.0,66,8,1,100,0,,
07.06.2019 18:00,6,18,23.0,738.0,68,28,1,100,41,, 
07.06.2019 21:00,6,21,17.0,747.0,97,8,2,100,35,,
,6,15,28.01,757.72,53,4,6.43,100,,,
